i,x,y,voltage,flow,cover dropped,index,drop stage
185,472.086000,600.768000,7.405228e-02,0.015466, 444.779268,0.031221,15103,1 of 10 
186,471.096000,600.768000,7.377225e-02,0.033901, 444.779268,0.078053,15102,1 of 10 
187,452.286000,600.768000,7.114461e-02,0.012215, 444.779268,0.035813,15083,1 of 10 
188,445.356000,600.768000,6.964912e-02,0.010300, 444.779268,0.054178,15081,1 of 10 
189,435.456000,600.768000,6.936285e-02,0.034275, 444.779268,1.000000,15071,1 of 10 
190,605.736000,601.758000,2.220558e-01,0.013510, 444.779268,0.460055,15070,1 of 10 
191,604.746000,601.758000,2.220386e-01,0.014061, 444.779268,0.395776,15069,1 of 10 
192,602.766000,601.758000,2.219919e-01,0.029642, 444.779268,0.603306,15068,1 of 10 
193,575.046000,601.758000,2.052083e-01,0.001526, 444.779268,0.000918,15057,1 of 10 
194,498.816000,601.758000,1.029725e-01,0.020357, 444.779268,0.007346,14980,1 of 10 
195,475.056000,601.758000,7.522015e-02,0.035587, 444.779268,0.054178,14960,1 of 10 
196,458.226000,601.758000,7.205350e-02,0.025907, 444.779268,0.095500,14943,1 of 10 
197,455.256000,601.758000,7.164381e-02,0.010703, 444.779268,0.036731,14941,1 of 10 
198,454.266000,601.758000,7.144469e-02,0.023190, 444.779268,0.073462,14940,1 of 10 
199,449.316000,601.758000,7.005229e-02,0.023179, 444.779268,0.073462,14938,1 of 10 
200,605.736000,602.748000,2.220664e-01,0.004876, 444.779268,0.142332,14923,1 of 10 
201,598.806000,602.748000,2.217636e-01,0.023274, 444.779268,0.173554,14919,1 of 10 
202,596.826000,602.748000,2.214263e-01,0.020478, 444.779268,0.108356,14918,1 of 10 
203,581.976000,602.748000,2.115224e-01,0.001178, 444.779268,0.000918,14915,1 of 10 
204,450.306000,602.748000,7.006168e-02,0.015488, 444.779268,0.047750,14795,1 of 10 
205,435.456000,602.748000,6.929847e-02,0.006899, 444.779268,0.145087,14780,1 of 10 
206,606.726000,603.738000,2.220966e-01,0.022303, 444.779268,0.611570,14779,1 of 10 
207,605.736000,603.738000,2.220818e-01,0.005780, 444.779268,0.142332,14778,1 of 10 
208,436.446000,603.738000,6.925661e-02,0.035537, 444.779268,0.517906,14646,1 of 10 
209,605.736000,604.728000,2.221038e-01,0.004259, 444.779268,0.088154,14645,1 of 10 
210,503.766000,604.728000,1.081249e-01,0.017401, 444.779268,0.006428,14571,1 of 10 
211,455.256000,604.728000,7.105061e-02,0.033120, 444.779268,0.080808,14525,1 of 10 
212,454.266000,604.728000,7.077551e-02,0.013268, 444.779268,0.033058,14524,1 of 10 
213,451.296000,604.728000,6.994544e-02,0.021511, 444.779268,0.069789,14523,1 of 10 
214,436.446000,604.728000,6.919697e-02,0.003968, 444.779268,0.049587,14508,1 of 10 
215,605.736000,605.718000,2.221350e-01,0.009267, 444.779268,0.161616,14507,1 of 10 
216,588.906000,605.718000,2.195549e-01,0.011044, 444.779268,0.017447,14493,1 of 10 
217,544.356000,605.718000,1.815669e-01,0.019635, 444.779268,0.006428,14462,1 of 10 
218,531.486000,605.718000,1.433015e-01,0.002306, 444.779268,0.000918,14461,1 of 10 
219,454.266000,605.718000,7.057316e-02,0.021123, 444.779268,0.050505,14385,1 of 10 
220,438.426000,605.718000,6.915829e-02,0.020614, 444.779268,0.179982,14371,1 of 10 
221,437.436000,605.718000,6.914233e-02,0.000376, 444.779268,0.003673,14370,1 of 10 
222,605.736000,606.708000,2.221827e-01,0.002675, 444.779268,0.037649,14368,1 of 10 
223,596.826000,606.708000,2.216097e-01,0.013029, 444.779268,0.065197,14362,1 of 10 
224,595.836000,606.708000,2.214264e-01,0.028630, 444.779268,0.129477,14361,1 of 10 
225,592.866000,606.708000,2.208340e-01,0.002989, 444.779268,0.009183,14358,1 of 10 
226,580.986000,606.708000,2.201506e-01,0.030353, 444.779268,0.011019,14348,1 of 10 
227,498.816000,606.708000,9.244126e-02,0.012996, 444.779268,0.003673,14309,1 of 10 
228,435.456000,606.708000,6.904790e-02,0.032496, 444.779268,0.453627,14247,1 of 10 
229,596.826000,607.698000,2.217220e-01,0.002910, 444.779268,0.015611,14244,1 of 10 
230,595.836000,607.698000,2.215562e-01,0.004422, 444.779268,0.021120,14243,1 of 10 
231,593.856000,607.698000,2.212449e-01,0.000506, 444.779268,0.001837,14241,1 of 10 
232,587.916000,607.698000,2.215779e-01,0.029710, 444.779268,0.028466,14236,1 of 10 
233,545.346000,607.698000,1.871899e-01,0.004306, 444.779268,0.001837,14203,1 of 10 
234,596.826000,608.688000,2.219088e-01,0.000674, 444.779268,0.003673,14130,1 of 10 
235,505.746000,608.688000,1.093939e-01,0.029663, 444.779268,0.011019,14096,1 of 10 
236,500.796000,608.688000,9.437100e-02,0.024864, 444.779268,0.007346,14094,1 of 10 
237,460.206000,608.688000,7.138971e-02,0.004558, 444.779268,0.008264,14053,1 of 10 
238,545.346000,609.678000,1.898529e-01,0.016339, 444.779268,0.010101,14000,1 of 10 
239,461.196000,609.678000,7.143401e-02,0.015734, 444.779268,0.027548,13957,1 of 10 
240,611.676000,610.668000,2.240084e-01,0.017092, 444.779268,0.109275,13929,1 of 10 
241,588.906000,610.668000,2.332405e-01,0.029144, 444.779268,0.012856,13927,1 of 10 
242,543.366000,610.668000,1.875275e-01,0.017175, 444.779268,0.011938,13896,1 of 10 
243,612.666000,611.658000,2.251422e-01,0.001887, 444.779268,0.009183,13824,1 of 10 
244,599.796000,611.658000,2.233320e-01,0.010427, 444.779268,0.031221,13823,1 of 10 
245,523.566000,611.658000,1.190511e-01,0.002115, 444.779268,0.000918,13791,1 of 10 
246,580.986000,612.648000,4.081373e-01,0.014301, 444.779268,0.000918,13720,1 of 10 
247,503.766000,612.648000,9.713961e-02,0.022565, 444.779268,0.006428,13683,1 of 10 
248,499.806000,612.648000,8.957520e-02,0.034259, 444.779268,0.015611,13681,1 of 10 
249,547.326000,613.638000,1.939730e-01,0.010914, 444.779268,0.008264,13583,1 of 10 
250,538.416000,613.638000,1.646391e-01,0.031455, 444.779268,0.024793,13578,1 of 10 
251,537.426000,613.638000,1.607819e-01,0.030092, 444.779268,0.027548,13577,1 of 10 
252,535.446000,613.638000,1.548912e-01,0.017498, 444.779268,0.022957,13576,1 of 10 
253,548.316000,616.608000,1.961152e-01,0.034583, 444.779268,0.031221,13253,1 of 10 
254,546.336000,616.608000,1.932317e-01,0.025965, 444.779268,0.021120,13251,1 of 10 
255,506.736000,616.608000,1.008544e-01,0.007340, 444.779268,0.001837,13240,1 of 10 
256,549.306000,617.598000,1.973812e-01,0.029175, 444.779268,0.027548,13156,1 of 10 
257,436.446000,617.598000,6.823177e-02,0.013923, 444.779268,0.078972,13078,1 of 10 
258,566.136000,619.578000,2.134192e-01,0.026896, 444.779268,0.004591,12985,1 of 10 
259,550.296000,619.578000,1.988805e-01,0.001593, 444.779268,0.001837,12969,1 of 10 
260,506.736000,620.568000,9.514033e-02,0.014756, 444.779268,0.005510,12867,1 of 10 
261,498.816000,620.568000,8.625162e-02,0.022120, 444.779268,0.011019,12865,1 of 10 
262,611.676000,621.558000,3.615429e-01,0.002066, 444.779268,0.010101,12809,1 of 10 
263,610.686000,621.558000,3.617654e-01,0.011827, 444.779268,0.050505,12808,1 of 10 
264,609.696000,621.558000,3.619288e-01,0.020132, 444.779268,0.075298,12807,1 of 10 
265,551.286000,621.558000,2.001143e-01,0.007360, 444.779268,0.011019,12792,1 of 10 
266,543.366000,621.558000,1.719068e-01,0.020581, 444.779268,0.013774,12788,1 of 10 
267,507.726000,621.558000,9.558799e-02,0.020879, 444.779268,0.008264,12778,1 of 10 
268,611.676000,622.548000,3.625096e-01,0.000744, 444.779268,0.005510,12722,1 of 10 
